Facility Type,Visit Date,Average Time Spent
Hospital,Clinic,Hospital
Clinic,Hospital,Clinic
Specialty Center,Specialty Center,Specialty Center
Specialty Center,Specialty Center,Hospital
Clinic,Hospital,Clinic
Hospital,Clinic,Specialty Center
Specialty Center,2026-03-29,2026-03-29
2026-03-29,2026-03-28,2026-03-28
2026-03-27,2026-03-27,2026-03-26
2026-03-26,2026-03-26,2026-03-25
2026-03-25,2026-03-25,2026-03-24
2026-03-24,2026-03-24,2026-03-23
2026-03-23,2026-03-23,37.5
50.33,47,30.67
28,37.5,33.33
16,29,49.5
53,35.4,39
26.33,60,39.2
18.5,28,49
